pitch_type,game_date,release_speed,player_name,batter,pitcher,events,description,des,game_type,stand,p_throws,home_team,away_team,balls,strikes,game_year,on_1b,on_2b,on_3b,outs_when_up,inning,inning_topbot,hit_distance_sc,launch_speed,launch_angle,game_pk,sv_id,estimated_ba_using_speedangle,estimated_woba_using_speedangle,estimated_slg_using_speedangle,at_bat_number,pitch_number,pitch_name,bat_score,fld_score,bat_speed,swing_length,demo_batting_team
SI,2018-08-08,95.01006116134167,"Slugger, Demo",999001,800001,home_run,hit_into_play,Demo Slugger homers against CHC. (Synthetic demonstration row.),R,L,L,ARI,CHC,2,2,2018,,,,2,8,Bot,449,106.8,32,700001,demo-play-0001,0.771,1.474,2.94,1,1,Sinker,1,1,73.0,7.78,ARI
CU,2018-10-06,79.76023713173669,"Slugger, Demo",999001,800002,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,L,STL,SD,3,0,2018,700001.0,,,0,6,Bot,463,106.4,31,700002,demo-play-0002,0.763,1.467,2.922,2,2,Curveball,6,0,77.7,7.37,STL
CH,2018-10-18,87.01911384549588,"Slugger, Demo",999001,800003,home_run,hit_into_play,Demo Slugger homers against ARI. (Synthetic demonstration row.),R,L,L,ARI,NYM,3,0,2018,,,,0,2,Top,450,109.1,25,700003,demo-play-0003,0.823,1.516,3.056,3,8,Changeup,4,7,77.6,7.63,NYM
SI,2018-11-11,94.6396387627575,"Slugger, Demo",999001,800004,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,SD,PHI,1,0,2018,,,,0,4,Bot,382,105.0,15,700004,demo-play-0004,0.732,1.442,2.852,4,7,Sinker,2,5,72.7,7.2,SD
FF,2018-12-09,92.88630743297847,"Slugger, Demo",999001,800005,home_run,hit_into_play,Demo Slugger homers against LAD. (Synthetic demonstration row.),R,L,L,LAD,PHI,1,1,2018,,,,2,2,Top,436,95.5,30,700005,demo-play-0005,0.52,1.268,2.374,5,2,4-Seam Fastball,4,0,72.4,7.39,PHI
SL,2018-12-19,84.61747849375115,"Slugger, Demo",999001,800006,home_run,hit_into_play,Demo Slugger homers against CHC. (Synthetic demonstration row.),R,L,L,ATL,CHC,0,1,2018,,,,0,8,Bot,483,110.3,29,700006,demo-play-0006,0.85,1.538,3.117,6,1,Slider,1,7,72.4,7.46,ATL
CU,2018-12-28,79.19929424750347,"Slugger, Demo",999001,800007,home_run,hit_into_play,Demo Slugger homers against PHI. (Synthetic demonstration row.),R,L,R,LAD,PHI,1,2,2018,,700002.0,,1,3,Bot,378,107.9,20,700007,demo-play-0007,0.796,1.494,2.995,7,1,Curveball,7,4,72.4,6.46,LAD
SI,2019-01-02,92.10408997373275,"Slugger, Demo",999001,800008,home_run,hit_into_play,Demo Slugger homers against SD. (Synthetic demonstration row.),R,L,R,NYM,SD,1,0,2019,700001.0,,,0,6,Bot,464,107.1,39,700008,demo-play-0008,0.778,1.48,2.956,8,7,Sinker,3,6,72.8,7.77,NYM
FC,2019-01-11,89.2552998810886,"Slugger, Demo",999001,800009,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,SF,ATL,1,0,2019,,,,2,4,Top,427,101.7,30,700009,demo-play-0009,0.658,1.381,2.685,9,1,Cutter,4,3,76.8,7.09,ATL
FF,2019-04-12,97.95786515325328,"Slugger, Demo",999001,800010,home_run,hit_into_play,Demo Slugger homers against SF. (Synthetic demonstration row.),R,L,L,SF,COL,3,0,2019,700001.0,,,2,1,Top,422,114.4,28,700010,demo-play-0010,0.94,1.612,3.32,10,7,4-Seam Fastball,0,1,72.9,7.62,COL
